"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cycs","Cycs","chr6",3059,"cytochrome c, somatic","protein-coding",4.71515106254774,5.97929297731845,18.5005781838482,3.29639298728965e-08,1.15892085056279e-05,9.1705017429586
"Cdsn","Cdsn","chr17",2678,"corneodesmosin","protein-coding",-10.1404784493552,-2.11884008487989,-22.5701656156737,6.18633460243857e-09,9.45288415288435e-06,9.13397076933783
"Prnp","Prnp","chr2",2186,"prion protein","protein-coding",-9.17506809355777,-0.35375614422888,-19.7522152249216,1.90282738950565e-08,1.09585544048604e-05,9.07789553137574
"S100a16","S100a16","chr3",1061,"S100 calcium binding protein A16","protein-coding",-9.40652232881106,-2.83258417683189,-22.5248798361432,6.2921350030293e-09,9.45288415288435e-06,8.95021399075539
"Plin4","Plin4","chr17",5755,"perilipin 4","protein-coding",-9.69955752685439,-1.71849162442919,-20.940678669158,1.16383409091358e-08,1.09585544048604e-05,8.87542575354098
"Col1a2","Col1a2","chr6",5143,"collagen, type I, alpha 2","protein-coding",-9.54725845992023,2.22695193738774,-17.2785464927098,5.8400040299603e-08,1.29447040146054e-05,8.81673464343897
"Tead1","Tead1","chr7",9962,"TEA domain family member 1","protein-coding",-9.33350869626167,-0.159094962234917,-18.3658685891004,3.50459787885954e-08,1.15892085056279e-05,8.72523980268591
"Lrrc17","Lrrc17","chr5",2197,"leucine rich repeat containing 17","protein-coding",-9.48248946930639,-2.28204187414324,-20.7613266020182,1.25127208806639e-08,1.09585544048604e-05,8.72308395003462
"Msrb3","Msrb3","chr10",3709,"methionine sulfoxide reductase B3","protein-coding",-7.92676658704295,-1.16704315116602,-19.1840975140104,2.4314520534414e-08,1.09585544048604e-05,8.67742528002054
"Col2a1","Col2a1","chr15",5133,"collagen, type II, alpha 1","protein-coding",-11.4274395705231,0.203849836706873,-18.3208925419054,3.57734230740589e-08,1.15892085056279e-05,8.67530984328117
"Pcolce","Pcolce","chr5",1539,"procollagen C-endopeptidase enhancer protein","protein-coding",-7.01580002633593,1.57685783609308,-16.9269062209538,6.93397291646322e-08,1.33934639719285e-05,8.66708582895647
"Ltbr","Ltbr","chr6",2092,"lymphotoxin B receptor","protein-coding",-7.87736462779851,-1.32379297838517,-19.3885682553151,2.22434966401523e-08,1.09585544048604e-05,8.6631968712104
"Rnf150","Rnf150","chr8",9685,"ring finger protein 150","protein-coding",-9.38565722825174,-2.8390366687788,-20.7872723327821,1.23818161338701e-08,1.09585544048604e-05,8.62389306661348
"Armcx3","Armcx3","chrX",3385,"armadillo repeat containing, X-linked 3","protein-coding",-7.36198438541407,-1.77536303804973,-20.3021823251514,1.51043414859835e-08,1.09585544048604e-05,8.6191857791004
"Fxyd6","Fxyd6","chr9",1792,"FXYD domain-containing ion transport regulator 6","protein-coding",-9.70966743988105,-2.49368963459707,-20.0459254806329,1.68076063109933e-08,1.09585544048604e-05,8.56311246249929
"S1pr3","S1pr3","chr13",4484,"sphingosine-1-phosphate receptor 3","protein-coding",-10.0940779661965,-2.39781972392293,-19.7007316249053,1.94502651707563e-08,1.09585544048604e-05,8.52523555276867
"Fn1","Fn1","chr1",8312,"fibronectin 1","protein-coding",-9.42510434641643,3.47878247597119,-16.3114281534112,1.0101259292641e-07,1.62594198685474e-05,8.51911433928488
"Epb41l3","Epb41l3","chr17",4047,"erythrocyte membrane protein band 4.1 like 3","protein-coding",-7.39641943994957,-0.836315867472236,-17.9596268226034,4.22664709903089e-08,1.16629582502034e-05,8.43903822276598
"Cavin3","Cavin3","chr7",1026,"caveolae associated 3","protein-coding",-9.58991314705804,-2.13589768391888,-19.3654462568745,2.2467536102011e-08,1.09585544048604e-05,8.43597409988169
"Dyrk4","Dyrk4","chr6",2073,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4","protein-coding",-7.91880055302017,-0.764872702357744,-17.8405274438509,4.46869563339583e-08,1.18473007174794e-05,8.43540860606884
"Sumo2","Sumo2","chr11",998,"small ubiquitin-like modifier 2","protein-coding",5.89501770181089,6.24971315158234,17.0899059230786,6.40081753169881e-08,1.29895174015075e-05,8.43525741736104
"Prune2","Prune2","chr19",12512,"prune homolog 2","protein-coding",-9.19028619283173,-1.70623296896399,-18.9783151427668,2.66181198325774e-08,1.15892085056279e-05,8.42954638701782
"Cavin1","Cavin1","chr11",3218,"caveolae associated 1","protein-coding",-9.12891195844395,0.89873508512644,-16.8019892370808,7.37608642090383e-08,1.37089506532519e-05,8.42212821401499
"Gpm6a","Gpm6a","chr8",3554,"glycoprotein m6a","protein-coding",-8.95671932443445,-2.94442982006879,-20.1369152152561,1.61794596757961e-08,1.09585544048604e-05,8.40007195549056
"Gm3552","Gm3552","chr14",684,"predicted gene 3552","protein-coding",6.45440843072493,6.79965033164141,16.7950707133945,7.40147472588852e-08,1.37089506532519e-05,8.37903379672099
"Akr1b8","Akr1b8","chr6",1304,"aldo-keto reductase family 1, member B8","protein-coding",-8.07228725021398,-1.64390661694388,-18.7636839058057,2.92830932556042e-08,1.15892085056279e-05,8.37448321609433
"Cbr2","Cbr2","chr11",1021,"carbonyl reductase 2","protein-coding",-9.21518084490213,-2.75851780254643,-19.5629294620667,2.06320112987623e-08,1.09585544048604e-05,8.35395035146967
"Col6a2","Col6a2","chr10",3729,"collagen, type VI, alpha 2","protein-coding",-12.8467625880514,-0.466090514925475,-18.0939588757326,3.97100813901329e-08,1.15892085056279e-05,8.34458372917771
"Cd63","Cd63","chr10",1037,"CD63 antigen","protein-coding",-7.59957468398535,-0.300251900403343,-17.1110342293626,6.33511562162013e-08,1.29895174015075e-05,8.33191757798887
"Pcdhb17","Pcdhb17","chr18",3270,"protocadherin beta 17","protein-coding",-8.43726210721099,-3.07273331157773,-20.4245008685649,1.43598652499023e-08,1.09585544048604e-05,8.33040818867717
"Gas1","Gas1","chr13",3131,"growth arrest specific 1","protein-coding",-10.5982759676944,-1.02481180769725,-18.024114647383,4.1017062526861e-08,1.15892085056279e-05,8.3190411564286
"Cnrip1","Cnrip1","chr11",1539,"cannabinoid receptor interacting protein 1","protein-coding",-9.82193849132299,-2.33837827706966,-18.6522019084184,3.07836796961356e-08,1.15892085056279e-05,8.2575251148482
"Aqp1","Aqp1","chr6",2760,"aquaporin 1","protein-coding",-6.79641378945238,-0.941956453827635,-17.5897710973928,5.03045264151466e-08,1.28333490879094e-05,8.2516937415525
"Pcp4l1","Pcp4l1","chr1",1575,"Purkinje cell protein 4-like 1","protein-coding",-10.5994694790462,-2.53023555955214,-18.2305293207058,3.72863670548637e-08,1.15892085056279e-05,8.17596977785917
"Flnc","Flnc","chr6",9166,"filamin C, gamma","protein-coding",-9.25744357769834,-0.13553361415914,-16.6999169144205,7.76070783322091e-08,1.4111149084614e-05,8.17492562882444
"Stat4","Stat4","chr1",2981,"signal transducer and activator of transcription 4","protein-coding",-10.1811822889079,-1.90439265880391,-18.1215074259544,3.92073832806093e-08,1.15892085056279e-05,8.1644103481285
"Tnc","Tnc","chr4",7100,"tenascin C","protein-coding",-6.28467980053717,-0.0188875702258038,-16.4084566449922,8.98763773102841e-08,1.51902312201544e-05,8.13328652052232
"Gimap4","Gimap4","chr6",1810,"GTPase, IMAP family member 4","protein-coding",-9.70755132838592,-1.23859651572254,-17.3173563864075,5.73154271559204e-08,1.29160315095867e-05,8.09194529130444
"Ackr3","Ackr3","chr1",2579,"atypical chemokine receptor 3","protein-coding",-8.50799727877897,-3.05692994431264,-19.1963310588109,2.41847398895632e-08,1.09585544048604e-05,8.08958101330784
"Plod2","Plod2","chr9",3712,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2","protein-coding",-6.75103112427537,-1.06766627127676,-17.1758431171567,6.13822093149292e-08,1.29895174015075e-05,8.06628025124697
"Clmp","Clmp","chr9",2929,"CXADR-like membrane protein","protein-coding",-8.70016891646194,-2.74682563866275,-18.5492157883219,3.22463569145007e-08,1.15892085056279e-05,8.0394011390539
"Pparg","Pparg","chr6",1984,"peroxisome proliferator activated receptor gamma","protein-coding",-9.47401674119337,-2.81911826682339,-18.1472156080794,3.87446548843526e-08,1.15892085056279e-05,8.03020095372556
"Cav1","Cav1","chr6",2767,"caveolin 1, caveolae protein","protein-coding",-6.17830448397013,-0.386063500850485,-16.427885417552,8.8994508258815e-08,1.51902312201544e-05,8.02138718823168
"Pglyrp2","Pglyrp2","chr17",2068,"peptidoglycan recognition protein 2","protein-coding",-8.0610030960488,-3.16767951469612,-19.2389240666576,2.37388737114326e-08,1.09585544048604e-05,7.98219097975576
"Armcx4","Armcx4","chrX",9014,"armadillo repeat containing, X-linked 4","protein-coding",-10.4629903014329,-2.04104874039897,-17.383445294838,5.55196957232208e-08,1.29160315095867e-05,7.95387620395752
"Cebpa","Cebpa","chr7",2636,"CCAAT/enhancer binding protein (C/EBP), alpha","protein-coding",-9.15221765443724,-2.89978253291247,-18.0175642544309,4.11420759019406e-08,1.15892085056279e-05,7.93969036083002
"Gpx8","Gpx8","chr13",1016,"glutathione peroxidase 8 (putative)","protein-coding",-8.42171776644506,-1.00645733427624,-16.5086132561518,8.543205117559e-08,1.48093174864763e-05,7.92037135751686
"Arhgef5","Arhgef5","chr6",5407,"Rho guanine nucleotide exchange factor (GEF) 5","protein-coding",-8.89103933164855,-2.5759914940729,-17.7987975094958,4.55712585086129e-08,1.18494035825953e-05,7.90549495594502
"Srpx2","Srpx2","chrX",2938,"sushi-repeat-containing protein, X-linked 2","protein-coding",-9.09124985901516,-2.9146208090444,-17.8599047049237,4.42828428757568e-08,1.18473007174794e-05,7.8868345338586
"Aldh1a7","Aldh1a7","chr19",2060,"aldehyde dehydrogenase family 1, subfamily A7","protein-coding",-8.87332702830286,-2.43917053360019,-17.4555948483176,5.36304893298911e-08,1.29160315095867e-05,7.83102505476035
"Dmpk","Dmpk","chr7",2761,"dystrophia myotonica-protein kinase","protein-coding",-7.69192236597444,-0.667964561761099,-16.0040505183478,1.10633159216585e-07,1.70480043091414e-05,7.82993089283161
"Srxn1","Srxn1","chr2",2583,"sulfiredoxin 1 homolog (S. cerevisiae)","protein-coding",-8.6961528049546,-2.74708137296857,-17.3901516924604,5.53410031132872e-08,1.29160315095867e-05,7.73571991996704
"Npr3","Npr3","chr15",6927,"natriuretic peptide receptor 3","protein-coding",-9.72134230293633,-2.02319854121122,-16.5778588807219,8.25025207233332e-08,1.44872283467557e-05,7.680842221181
"Vipr1","Vipr1","chr9",4902,"vasoactive intestinal peptide receptor 1","protein-coding",-8.37165346393657,-2.43708908992176,-17.068892622582,6.46691529182182e-08,1.29895174015075e-05,7.65913198433275
"Slc8a1","Slc8a1","chr17",18599,"solute carrier family 8 (sodium/calcium exchanger), member 1","protein-coding",-8.60604105933177,-3.03565416533779,-17.3467517559743,5.65088464994248e-08,1.29160315095867e-05,7.65093159393211
"Slc38a4","Slc38a4","chr15",3932,"solute carrier family 38, member 4","protein-coding",-8.63620805376673,-2.76392434978287,-17.0996258941476,6.37049792422688e-08,1.29895174015075e-05,7.64091224739741
"Rpl13","Rpl13","chr8",780,"ribosomal protein L13","protein-coding",5.32068937585245,6.5524088272051,14.630487044563,2.3293758658848e-07,2.560609031108e-05,7.59893372606901
"Tomm20","Tomm20","chr8",4986,"translocase of outer mitochondrial membrane 20","protein-coding",2.34190122634616,8.00969700815724,14.3855090721296,2.67838393009675e-07,2.85152985187702e-05,7.59170119022722
"Rpl11","Rpl11","chr4",594,"ribosomal protein L11","protein-coding",2.74015435253209,7.02240475231595,14.3105819396293,2.79646396324072e-07,2.89022841227141e-05,7.58751563002677
"Lacc1","Lacc1","chr14",2419,"laccase domain containing 1","protein-coding",-8.76087778717199,-2.52672804984145,-16.6828041460055,7.82735138929113e-08,1.4111149084614e-05,7.57710751709867
"Pde5a","Pde5a","chr3",6728,"phosphodiesterase 5A, cGMP-specific","protein-coding",-10.3885166289127,-2.05992624989082,-16.1841606272782,1.00793571523195e-07,1.62594198685474e-05,7.57191499237193
"P3h3","P3h3","chr6",2779,"prolyl 3-hydroxylase 3","protein-coding",-8.66712809451383,-1.63339482509406,-15.9998528389924,1.10874892361096e-07,1.70480043091414e-05,7.56186286134433
"Kirrel","Kirrel","chr3",7287,"kirre like nephrin family adhesion molecule 1","protein-coding",-9.97189273368644,-1.33849601187845,-15.8392444011804,1.20580715432697e-07,1.7530880143715e-05,7.56051017938105
"Hnrnpf","Hnrnpf","chr6",2990,"heterogeneous nuclear ribonucleoprotein F","protein-coding",2.37915219108536,9.60606068840413,14.2690732797687,2.8643636361539e-07,2.89022841227141e-05,7.50870626545825
"Armcx2","Armcx2","chrX",3778,"armadillo repeat containing, X-linked 2","protein-coding",-9.80000372966994,-1.87870578207319,-15.9984616842659,1.10955134916385e-07,1.70480043091414e-05,7.50650820224969
"Mrc2","Mrc2","chr11",5801,"mannose receptor, C type 2","protein-coding",-7.01804536038708,-0.109441129187601,-14.8948931503896,2.00839332961356e-07,2.38206019383377e-05,7.50380672150304
"Trem1","Trem1","chr17",3006,"triggering receptor expressed on myeloid cells 1","protein-coding",-9.81574163301842,-2.72368073246091,-16.1274208765983,1.03784033336017e-07,1.65089872321916e-05,7.48251782882532
"Gpx7","Gpx7","chr4",1214,"glutathione peroxidase 7","protein-coding",-7.93734412986992,-3.19686314699376,-17.2369526111626,5.95879014267746e-08,1.29895174015075e-05,7.47154597389977
"Morf4l1b","Morf4l1b","chr19",1048,"mortality factor 4 like 1B","protein-coding",2.7225957943836,6.19447837633357,14.0800757563452,3.19761053489621e-07,2.98171669257459e-05,7.46673380074056
"Anpep","Anpep","chr7",3423,"alanyl (membrane) aminopeptidase","protein-coding",-7.8145064875775,-3.23089969370562,-17.3477715576763,5.64810919069973e-08,1.29160315095867e-05,7.46578250972718
"Tgfb1i1","Tgfb1i1","chr7",3026,"transforming growth factor beta 1 induced transcript 1","protein-coding",-6.52042746857838,0.0328648292427942,-14.6746255163231,2.27203781543391e-07,2.55418926852386e-05,7.42815894938787
"Prkar1b","Prkar1b","chr5",2739,"protein kinase, cAMP dependent regulatory, type I beta","protein-coding",-6.75376575258339,-2.17789912618576,-16.602366132903,8.14926454917138e-08,1.44872283467557e-05,7.41191443973269
"Fabp4","Fabp4","chr3",642,"fatty acid binding protein 4, adipocyte","protein-coding",-8.90347564629673,-1.33679354542918,-15.3033324366778,1.60490109213822e-07,2.1485017491882e-05,7.38727262372959
"Mterf4","Mterf4","chr1",3315,"mitochondrial transcription termination factor 4","protein-coding",-2.79098110890981,4.80120921148349,-13.9987259102147,3.35414596153599e-07,3.06428429364379e-05,7.38434682401105
"Mmp23","Mmp23","chr4",1434,"matrix metallopeptidase 23","protein-coding",-6.7327067739423,-0.694427950642491,-14.9452861049475,1.95297906249377e-07,2.38206019383377e-05,7.37669372833449
"Dpep1","Dpep1","chr8",2243,"dipeptidase 1","protein-coding",-9.03772728494205,-2.66418629071717,-15.8842094088465,1.1777135042655e-07,1.74987519683228e-05,7.33187430623318
"Gm4963","Gm4963","chr5",385,"predicted gene 4963","protein-coding",3.12284454311562,6.30428920926846,13.8499881511674,3.66287619926195e-07,3.17823449306342e-05,7.33033209865239
"Cntln","Cntln","chr4",6929,"centlein, centrosomal protein","protein-coding",-10.4567647982997,-2.04292641928364,-15.4664193562752,1.46972113730624e-07,2.05103412519035e-05,7.32299762118167
"Lpcat2","Lpcat2","chr8",2800,"lysophosphatidylcholine acyltransferase 2","protein-coding",-9.55991319172688,-1.46721991877347,-15.2399097541103,1.66116237429556e-07,2.1596708137356e-05,7.32072414865752
"Tspan9","Tspan9","chr6",3930,"tetraspanin 9","protein-coding",-6.5215634424997,-1.76165301985004,-15.8112028226109,1.223704517066e-07,1.76018178460099e-05,7.31601373678574
"Tmem37","Tmem37","chr1",1017,"transmembrane protein 37","protein-coding",-7.76738773050815,-3.24132753236958,-16.8250849942481,7.29203351534908e-08,1.37089506532519e-05,7.31520716714851
"Timp1","Timp1","chrX",890,"tissue inhibitor of metalloproteinase 1","protein-coding",-6.78000340237879,-0.187619613144388,-14.4871394907569,2.52698820299748e-07,2.7554360881233e-05,7.30113049266007
"Tpm2","Tpm2","chr4",2098,"tropomyosin 2, beta","protein-coding",-7.05749353987537,-0.089671520190458,-14.4105033817941,2.64023664429496e-07,2.83322537043747e-05,7.2888488392793
"Kansl2","Kansl2","chr15",2110,"KAT8 regulatory NSL complex subunit 2","protein-coding",2.19465403136713,6.73965680170087,13.8025502814807,3.76788996218039e-07,3.18410251116506e-05,7.27866858719235
"Klhdc8a","Klhdc8a","chr1",4269,"kelch domain containing 8A","protein-coding",-7.83617506153585,-2.30917284511158,-15.9098783524138,1.16200297926264e-07,1.7457158091789e-05,7.26717569528646
"Prrx1","Prrx1","chr1",7448,"paired related homeobox 1","protein-coding",-8.68601032381428,-0.0424498807729427,-14.3571352718631,2.72243395162858e-07,2.87578355156016e-05,7.24906687728924
"Col5a1","Col5a1","chr2",8402,"collagen, type V, alpha 1","protein-coding",-8.62228581028485,0.564972454310996,-14.1663396125215,3.0404384883947e-07,2.95548100425927e-05,7.24433115016503
"Col6a3","Col6a3","chr1",10841,"collagen, type VI, alpha 3","protein-coding",-11.2033966718996,-0.672241982393396,-14.7646797419986,2.15985884213424e-07,2.51572969652976e-05,7.2256303567519
"Nr2f1","Nr2f1","chr13",2432,"nuclear receptor subfamily 2, group F, member 1","protein-coding",-8.23617300407237,-2.73887021664827,-15.8510031107834,1.1983890935512e-07,1.7530880143715e-05,7.21010054379544
"Cacng7","Cacng7","chr7",828,"calcium channel, voltage-dependent, gamma subunit 7","protein-coding",-7.92976137822568,-3.20434125312135,-16.3095834525697,9.45176517510863e-08,1.57774465348943e-05,7.20458848552085
"Axl","Axl","chr7",5084,"AXL receptor tyrosine kinase","protein-coding",-7.02151869757108,-0.198649444583707,-14.2693924818645,2.86383454059668e-07,2.89022841227141e-05,7.20191364610184
"Chst14","Chst14","chr2",2089,"carbohydrate sulfotransferase 14","protein-coding",-3.91236451533269,0.691409042083325,-14.1552337252111,3.06018297904222e-07,2.95548100425927e-05,7.20021889314955
"Slc25a24","Slc25a24","chr3",3383,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24","protein-coding",-8.41901548087167,-2.22080510431067,-15.4642712595632,1.47141712997163e-07,2.05103412519035e-05,7.1963183110191
"Pros1","Pros1","chr16",3270,"protein S (alpha)","protein-coding",-8.77384118382015,-1.95288848340651,-15.2204422396044,1.67886934817772e-07,2.16190404349629e-05,7.19377936310807
"Dock7","Dock7","chr4",7043,"dedicator of cytokinesis 7","protein-coding",-9.18222810933902,-2.15815977151435,-15.2578677773413,1.64501249717107e-07,2.1596708137356e-05,7.1877840314056
"Matn2","Matn2","chr15",3520,"matrilin 2","protein-coding",-8.92895727036924,-1.77409151377032,-15.0737551225838,1.81924929122206e-07,2.28601525330293e-05,7.18679298052747
"Hsd11b1","Hsd11b1","chr1",1446,"hydroxysteroid 11-beta dehydrogenase 1","protein-coding",-7.95778630907963,-1.25922987677818,-14.7336200965798,2.19783772826973e-07,2.51838677321484e-05,7.17582810203189
"Lamtor4","Lamtor4","chr5",877,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","protein-coding",-2.17508689452245,4.14327149380994,-13.5984162628765,4.25962817922633e-07,3.280278947581e-05,7.16584113047151
"Rpl6","Rpl6","chr5",1250,"ribosomal protein L6","protein-coding",1.90571794141303,9.4648177600049,13.689268327355,4.0324724874512e-07,3.280278947581e-05,7.15114974129557
"Rab34","Rab34","chr11",1806,"RAB34, member RAS oncogene family","protein-coding",-5.51698577888329,-0.305465323248985,-14.30287217374,2.80893897431372e-07,2.89022841227141e-05,7.132056453366
"Hspa8","Hspa8","chr9",2104,"heat shock protein 8","protein-coding",2.56059410121668,10.7988854256263,13.6609706748222,4.10174675899329e-07,3.280278947581e-05,7.13097156746671
"Mical2","Mical2","chr7",7370,"microtubule associated monooxygenase, calponin and LIM domain containing 2","protein-coding",-7.11263374472498,-1.50750242045891,-14.8997711171478,2.00295354952279e-07,2.38206019383377e-05,7.13067382438027
"Hoxa3","Hoxa3","chr6",2543,"homeobox A3","protein-coding",-7.71875832718756,-3.2565653849887,-16.2257460719721,9.86627252706386e-08,1.62594198685474e-05,7.12964058802999
"Ddr2","Ddr2","chr1",8290,"discoidin domain receptor family, member 2","protein-coding",-8.99688828026832,-0.548162211574383,-14.2751601364167,2.85429302934522e-07,2.89022841227141e-05,7.11946951807244
"Pmp22","Pmp22","chr11",1801,"peripheral myelin protein 22","protein-coding",-8.14044044270196,-1.78001451513326,-14.9190482893483,1.98161598429417e-07,2.38206019383377e-05,7.10702801853752
"Bgn","Bgn","chrX",2389,"biglycan","protein-coding",-8.93780776702084,1.56226297596021,-13.6807525511751,4.05318178434411e-07,3.280278947581e-05,7.09390659569781
"Gm17494","Gm17494","chr3",1802,"predicted gene, 17494","ncRNA",6.83726905271011,8.9597766412308,13.4667568282814,4.66020706545497e-07,3.3516308368094e-05,7.09280674676467
"Nid1","Nid1","chr13",6046,"nidogen 1","protein-coding",-7.99648979025825,0.796726327679963,-13.778683124226,3.82198761604699e-07,3.18994410843033e-05,7.09250695427725
"Fscn1","Fscn1","chr5",2667,"fascin actin-bundling protein 1","protein-coding",-9.37001413161907,-0.311663333305104,-14.1330037706909,3.10013413013912e-07,2.96071327648366e-05,7.08173357795026
"Fgf7","Fgf7","chr2",2672,"fibroblast growth factor 7","protein-coding",-8.93067965109418,-1.24705557809297,-14.4590036815011,2.56792564154897e-07,2.77767380795069e-05,7.066067361167
"Pcbp3","Pcbp3","chr10",2175,"poly(rC) binding protein 3","protein-coding",-9.00657598202318,-2.04926780664343,-14.8989018319287,2.00392175193693e-07,2.38206019383377e-05,7.06012477170798
"Tcaf1","Tcaf1","chr6",3738,"TRPM8 channel-associated factor 1","protein-coding",-8.73369292797499,-3.00548025332715,-15.3440549555841,1.56989592990965e-07,2.14409725942509e-05,7.05740158861344
"Xdh","Xdh","chr17",4587,"xanthine dehydrogenase","protein-coding",-8.52674860165797,-2.93129020595066,-15.3487566989295,1.56590931486255e-07,2.14409725942509e-05,7.04659845293287
"Amd2","Amd2","chr10",3201,"S-adenosylmethionine decarboxylase 2","protein-coding",4.86556993340649,6.12491031477787,13.5757893351602,4.31839104111692e-07,3.280278947581e-05,7.0369234364576
"Tiam2","Tiam2","chr17",6281,"T cell lymphoma invasion and metastasis 2","protein-coding",-3.53211277422589,1.76080981711663,-13.4703500213843,4.60437290537897e-07,3.3516308368094e-05,7.03215161671975
"P3h4","P3h4","chr11",1869,"prolyl 3-hydroxylase family member 4 (non-enzymatic)","protein-coding",-7.45060737819719,-1.76106608396453,-14.7506582614075,2.17691276158555e-07,2.51572969652976e-05,7.0087837231171
"Nfatc4","Nfatc4","chr14",4019,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4","protein-coding",-8.79712044723719,-2.86554954233648,-15.0670495068959,1.82597180206136e-07,2.28601525330293e-05,6.9910645918919
"Ltbp1","Ltbp1","chr17",8137,"latent transforming growth factor beta binding protein 1","protein-coding",-7.51773765994602,-0.549396129217122,-13.9307196916735,3.4915596736444e-07,3.12644889717523e-05,6.97805796719379
"Tgtp2","Tgtp2","chr11",2816,"T cell specific GTPase 2","protein-coding",-7.60369615970668,-2.63140574436357,-15.3102252133922,1.59891546943438e-07,2.1485017491882e-05,6.9617665908543
"Rarg","Rarg","chr15",3210,"retinoic acid receptor, gamma","protein-coding",-6.56914151524861,-0.934417060263512,-14.1067668994294,3.14803456219892e-07,2.96071327648366e-05,6.93809696450033
"Itih2","Itih2","chr2",3122,"inter-alpha trypsin inhibitor, heavy chain 2","protein-coding",-7.98398034929822,-2.66285460341634,-15.0707396360768,1.82226896182493e-07,2.28601525330293e-05,6.92464420119368
"Pdgfrb","Pdgfrb","chr18",5413,"platelet derived growth factor receptor, beta polypeptide","protein-coding",-9.50676869770575,-0.385025212921745,-13.8267374131331,3.7139342497154e-07,3.17823449306342e-05,6.92265858749133
"Trp53i13","Trp53i13","chr11",1366,"transformation related protein 53 inducible protein 13","protein-coding",-2.53689732994382,3.89521458349329,-13.1940306271428,5.45898884528461e-07,3.54860520082179e-05,6.92135676041728
"Il1r1","Il1r1","chr1",5035,"interleukin 1 receptor, type I","protein-coding",-8.95567518397302,-2.29796652221349,-14.6309923605458,2.32871039464277e-07,2.560609031108e-05,6.91873801381799
"Erbb2","Erbb2","chr11",4998,"erb-b2 receptor tyrosine kinase 2","protein-coding",-7.61174151909984,-2.75318701156515,-15.2419391537739,1.65932849637558e-07,2.1596708137356e-05,6.91510397012146
"Fam114a1","Fam114a1","chr5",2949,"family with sequence similarity 114, member A1","protein-coding",-6.54946002161921,0.0604579347565708,-13.5915602337234,4.27733909033478e-07,3.280278947581e-05,6.91281356722916
